site	x	y	road_len	area	rd_dens	prec_mean	prec_sd	prec_cv	Ave_catchment_order	Ave_river_protect	Ave_imperviousness	Ave_natural_cover	Ave_pressure_sum	ave_logNconcen	mean_C_percent	mid_pH	masr	mat	elev	ALP	BG	BGC	BGL	BL	BRock	GY	HCPYB	HCYB	ice	IRENYB	IYBBL	IYBLRE	IYBLYB	IYBRE	IYGRE	IYGYB	lake	LIT	MSoil	OR	POD	PYB	PYBL	PYBP	PYBP/YBL	R/YP/YBL	RE	RE/YBP	REND	rive	RL	SAGY	SAOR	SKele	town	UYB	UYG	YB	YBL	YBL/YB	YBP	YBP/YBL	YBS	YBST	YG	artificial2	bare2	water2	cropland2	grassland2	scrub2	forest2	artificial3	bare3	water3	cropland3	grassland3	scrub3	forest3	bare	scrub	exotic_grassland	ind_forest	tussock	plantations	urban	freshwater	marine	high_alt	low_alt	urbanised	aquatic_veg	Alpine Grass/Herbfield	Broadleaved Indigenous Hardwoods	Built-up Area (settlement)	Coastal Sand and Gravel	Deciduous Hardwoods	Depleted Grassland	Exotic Forest	Fernland	Flaxland	Forest - Harvested	Gorse and/or Broom	Gravel and Rock	Herbaceous Freshwater Vegetation	High Producing Exotic Grassland	Indigenous Forest	Lake and Pond	Landslide	Low Producing Grassland	Mangrove	Manuka and/or Kanuka	Matagouri or Grey Scrub	Mixed Exotic Shrubland	Orchard Vineyard & Other Perennial Crops	Permanent Snow and Ice	River	Short-rotation Cropland	Sub Alpine Shrubland	Surface Mines and Dumps	Tall Tussock Grassland	Transport Infrastructure	Urban Parkland/Open Space	Richness	Rapaport node
ABT	171.55800889372165	-43.657243729264096	14807.46	4657.9	0.305422157	1227.09	134.87	0.11	3.333333333	0.339933333	0.01261748	0.52771746	0.665569667	-0.365359221	11.51818144	5.390908995	13.6267996	10.4793997	343	0	0	0	0	0	0	0	0	6088.575622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.2679375	0	0	1190.298536	0	0	0	0	0	1088.985481	0	2686.478425	0	0	0	0	0	5796.767695	0	0	1304.41943	29.56583791	0	1422.649811	340.478162	1560.789585	0	1309.73	29.59	0	1409.75	318.05	1590.81	1318.59	104.78	538.72	1396.94	869.8	398.28	0	30.82	0	2271.02	121.78	0	1.23	0	0	0	0	185.53	0	212.75	0	0	8.86	103.46	1309.73	1.23	538.72	1183.67	0	0	121.78	0	1.32	0	0	0	0	29.59	0	213.27	0	748.02	0	0	356	5
AG	172.2276280823616	-43.22729608289619	53135.22	47117.7	0.112151533	1032.89	219.08	0.212	3.356164384	0.357172603	0.004002521	0.701641047	0.711651521	-0.0497869	12.72477839	5.484070671	13.3303003	10.9045	220	376.498225	0	0	0	0	0	0	0	17318.67497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3548.20262	0	0	3618.183413	0	0	0	0	0	20805.96262	0	34600.37146	0	0	0	0	0	3878.288048	0	0	1749.429168	12.58577319	0	22268.99759	7100.611212	15986.07286	0	1621.37	15.06	0	21862.01	7598.42	16020.89	1622.53	5165.4	4588.71	18313.06	17243.02	139.69	0	45.34	0	9398.65	11772.7	0	30.28	0	709.09	0	0	9.37	33	130.32	0	0	1.16	1265.17	1604.88	30.28	4588.71	15880.04	0	16.49	11140.18	0	3267.71	632.52	0	0	0	15.06	0	1723.93	0	6069.84	0	0	424	5
AHR	175.4682389854093	-36.58941105955827	0	57.37	0.514949203	1543.5	1.5	0.001	3	0.15205	0.01664715	0.7722585	0.7436575	0.166562178	21.3999996	5.666666667	14.0150995	14.7327003	50	0	0	403.1490938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	866.9332375	0	0	0	0	0	0	0	0	0	0	0	0	51.52989395	5.842636558	0	0	0	0	0	51.56	5.82	0	30.66	0	26.72	0	0	0	0	0	0	0	0	0	0	20.9	0	0	0	0	0	0	0	0	0	0	0	0	5.82	0	0	0	0	30.66	0	0	0	0	0	0	0	0	0	0	0	1630	17
akMK	174.52145384178954	-36.55731807883419	60765.34	4864.07	1.29713285	1343.39	39.51	0.029	3.222222222	0.035605556	0.053019061	0.255336117	0.694035278	0.0705159	20.73636327	5.192727189	13.6405001	14.8087997	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482.377275	0	0	0	0	55.932825	0	154.91655	0	0	0	0	0	0	0	0	8717.433615	81.9222	0	0	0	0	0	0	6.549964428	0	0	0	3166.522409	374.8279998	1316.17076	6.54	0	0	0	3108.23	383.27	1365.98	88.26	290.56	3094.62	494.45	13.61	875.98	6.54	0	0	0	13.61	0	0	0	92.71	0	0	0	0	875.98	0	0	88.26	28.66	0	0	3094.62	401.74	0	0	13.61	0	261.9	0	0	0	0	0	0	0	6.54	0	0	0	2719	17
akMW	174.46846630145038	-36.94056236333871	1069.85	307.03	0.551037312	1414.08	14.64	0.01	1.857142857	0.235057143	0.021854957	0.971603571	0.850792714	0.1713194	12.3999996	5.549999825	13.5560999	14.8514004	20	0	0	2429.7024	0	659.1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.356845432	43.14578688	262.5266021	0	0	0	0	1.34	43.13	262.56	0	43.13	1.34	262.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34	262.56	0	0	0	0	43.13	0	0	0	0	0	0	0	0	0	0	0	2069	17
akNK	174.97381967591082	-37.19470915341917	6706.94	468.42	1.670275688	1309.61	15.73	0.012	3	0.04346	0.0689334	0.0820327	0.6139338	0.141510708	18.3999996	5.109090845	13.2757998	13.7691002	158	0	0	0	1523.136581	0	0	0	0	0	0	0	832.1788188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661.216525	0	0	0	0	0	0	0	0	0	0	105.178977	339.2058089	3.995785836	20.04258102	0	0	3.87	139.57	298.4	6.81	19.76	0	0	437.97	9.77	0	16.8	0	3.87	0	0	0	0	0	0	6.81	0	0	4.17	0	12.63	0	0	0	0	0	0	298.4	2.96	3.87	0	0	0	0	0	0	3.55	0	0	136.02	0	0	0	0	0	3496	20
akOK	174.72451255638603	-36.67668704600829	0	46.18	1.91245985	1148.5	1.5	0.001	1	0.096	0.0869995	0.07475	0.6328	0.09062375	12.3999996	5.5	13.0410004	15.3880997	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.70985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3299	0	0	0	0	0	0	0	0	0	0	0	30.49804989	6.739621527	8.939065082	0	0	0	0	30.54	6.73	8.91	0	6.73	30.54	3.08	0	5.83	0	0	0	0	0	0	0	0	0	0	0	0.85	0	4.98	0	0	0	0.91	0	0	30.54	3.08	0	0	0	0	5.82	0	0	0	0	0	0	0	0	0	0	0	3519	18
AKR	172.96222237056492	-43.8115306036921	4637.42	364.17	1.317292929	893.93	9.66	0.011	2	0.371633333	0.053726317	0.315491833	0.503109167	0.02233824	18.3999996	5.833333333	13.1787004	12.3488998	15	0	0	0	2443.692404	0	0	0	0	0	0	0	0	0	0	0	0	1536.995238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.11580121	0	0	0	239.1212966	79.67776745	37.25212872	8.12	0	0	0	222.93	95.84	37.28	0	37.86	212.6	62.75	10.33	32.51	8.12	0	0	0	10.33	8.12	0	0	57.98	8.12	0	0	0	32.51	0	0	0	30.51	0	0	212.6	4.77	0	0	10.33	0	7.35	0	0	0	0	0	0	0	0	0	0	0	591	4
akWG	174.73982854947775	-37.2270569967854	26035.42	1904.78	1.396269679	1214.2	9.29	0.008	2.111111111	0.034366667	0.117585489	0.034629422	0.590273667	0.2519568	18.80909051	5.145454536	13.9700003	15.1686001	20	0	0	0	2722.161738	0	0	0	0	0	0	0	565.0929753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302.6883563	0	0	0	0	0	0	0	0	0	0	0	250.0592563	0	0	0	0	0	0	0	0	0	129.8069507	1686.705817	8.414385361	79.85762646	2.52	0	0	205.79	1597.94	2.95	95.6	0	0	1803.73	82.55	0	16	2.52	0	0	0	0	2.52	0	0	2.95	2.52	0	0	0	16	0	0	0	0	0	0	1597.94	79.6	0	0	0	0	0	0	0	22.39	0	0	183.4	0	0	0	0	0	3483	16
akWH	174.66120990643978	-36.57993761529368	67.73	81.04	1.148261189	1360	2.16	0.002	2.25	0.042075	0.0317419	0.4967705	0.74609175	-0.545323833	16.8999996	5.366666633	13.4755001	15.0221004	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368.23525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	847.83105	0	0	0	0	0	0	0	0	0	0	0	14.06527209	66.94652102	0.028781791	0	0	0	0	14.06	66.97	0.02	0	32.17	12.46	34.82	1.6	0	0	0	0	0	1.6	0	0	0	34.8	0	0	0	0	0	0	0	0	0	0	0	12.46	0.02	0	0	1.6	0	32.17	0	0	0	0	0	0	0	0	0	0	0	3627	18
