site	x	y	road_len	area	rd_dens	prec_mean	prec_sd	prec_cv	Ave_catchment_order	Ave_river_protect	Ave_imperviousness	Ave_natural_cover	Ave_pressure_sum	ave_logNconcen	mean_C_percent	mid_pH	masr	mat	elev	ALP	BG	BGC	BGL	BL	BRock	GY	HCPYB	HCYB	ice	IRENYB	IYBBL	IYBLRE	IYBLYB	IYBRE	IYGRE	IYGYB	lake	LIT	MSoil	OR	POD	PYB	PYBL	PYBP	PYBP/YBL	R/YP/YBL	RE	RE/YBP	REND	rive	RL	SAGY	SAOR	SKele	town	UYB	UYG	YB	YBL	YBL/YB	YBP	YBP/YBL	YBS	YBST	YG	artificial2	bare2	water2	cropland2	grassland2	scrub2	forest2	artificial3	bare3	water3	cropland3	grassland3	scrub3	forest3	bare	scrub	exotic_grassland	ind_forest	tussock	plantations	urban	freshwater	marine	high_alt	low_alt	urbanised	aquatic_veg	Alpine Grass/Herbfield	Broadleaved Indigenous Hardwoods	Built-up Area (settlement)	Coastal Sand and Gravel	Deciduous Hardwoods	Depleted Grassland	Exotic Forest	Fernland	Flaxland	Forest - Harvested	Gorse and/or Broom	Gravel and Rock	Herbaceous Freshwater Vegetation	High Producing Exotic Grassland	Indigenous Forest	Lake and Pond	Landslide	Low Producing Grassland	Mangrove	Manuka and/or Kanuka	Matagouri or Grey Scrub	Mixed Exotic Shrubland	Orchard Vineyard & Other Perennial Crops	Permanent Snow and Ice	River	Short-rotation Cropland	Sub Alpine Shrubland	Surface Mines and Dumps	Tall Tussock Grassland	Transport Infrastructure	Urban Parkland/Open Space	Richness	Rapaport node
akWK	174.4772599537651	-36.94295007788114	89.58	228.53	0.723885298	1416	13.19	0.009	2	0.23715	0.06360825	0.950765667	0.831312167	-0.4649044	12.01111071	5.566666489	13.5451002	14.7969999	40	0	0	2236.47235	0	659.1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.4784	0	0	0.533221983	0	0	0	0	6.928518353	221.0723629	0.53	0	0	0	0	6.89	221.11	0	6.89	0	221.11	0	0	0.53	0	0	0	0	0.53	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0	0	221.11	0	0	0	0	6.89	0	0	0	0	0	0	0	0	0	0	0	1952	17
ANI	177.1703142543348	-38.74013866139641	569.37	5079.19	0.037628792	2224.6	172.77	0.078	3	0.155054545	0.001448718	0.956895182	0.679332591	-0.259966575	9.484210358	5.894736842	13.7278996	10.5879002	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332.998025	0	0	0	0	0	0	15880.62493	0	0	0	0	0	0	0	0	0	0	0	0	0	1133.849063	0	0	0	0	0	0	0	0	0	378.1605078	0	32.5263199	224.5864414	4443.91744	0	0	378.21	0	33.79	222.9	4444.29	0	224.25	0	4444.29	4.36	0	0	406.29	0	0	4.36	0	29.43	0	0	0	0	0	0	0	0	1.35	0	0	0	28.08	0	4444.29	378.21	0	4.36	0	222.9	0	0	0	0	0	0	0	0	0	0	0	1027	12
AR	175.13394010813732	-36.99550305847553	3845.74	744.29	0.58694762	1390.79	63.08	0.045	3.125	0.191875	0.025913975	0.394329375	0.553388625	0.100675071	14.48695612	5.456521543	13.0756998	14.2962999	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4288.295437	0	0	0	0	0	0	0	0	0	0	0	353.0111211	32.16973462	359.1044292	0	0	0	0	307.91	57.5	378.83	0	32.99	307.91	336.02	0	67.32	0	0	0	0	0	0	0	0	24.51	0	0	0	0	67.32	0	0	0	0	0	0	307.91	311.51	0	0	0	0	32.99	0	0	0	0	0	0	0	0	0	0	0	1863	20
ARM	174.51177568882974	-36.7434012689098	93553.22	7163.12	1.295047879	1240.96	27.9	0.022	3.428571429	0.032038095	0.082595095	0.065898248	0.60882	0.170484	14.36666628	5.543939358	13.2536001	14.5857	20	0	0	344.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8049.836379	0	0	0	0	546.24885	0	0	0	0	0	0	0	0	0	0	4405.72035	1103.321088	0	0	0	0	0	0	16.16745788	0	0.373387678	126.0668142	3226.698674	505.1957484	3288.622028	18.15	0	0.34	125.96	3133.02	516.21	3369.51	73.19	476.01	3258.14	117.6	0	3218.92	18.15	1.18	0	0	0	5.41	0.84	0	40.2	5.41	0	0	0	3218.92	0	0	73.19	0.84	0	0.84	3132.18	77.4	0.34	0	0	0	469.99	0	5.18	110.67	0	0	15.29	0	0	0	12.74	0	3159	21
ART	174.68493455035434	-36.694374843014295	1244.86	37.19	2.631966591	1166	0	0	3	0.04455	0.10242055	0.27504545	0.587355	-0.050310662	12.3999996	5.25	12.9225998	15.0585003	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.2171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387.1308	0	0	0	0	0	0	0	0	0	0	0	24.32523955	5.942874573	6.918483048	0	0	0	0	24.37	5.95	6.88	0	3.7	24.37	2.25	0	6.88	0	0	0	0	0	0	0	0	2.25	0	0	0	0	6.88	0	0	0	0	0	0	24.37	0	0	0	0	0	3.7	0	0	0	0	0	0	0	0	0	0	0	3411	18
ASH	172.6857102191189	-43.276992158971325	498558.17	115033.32	0.446290851	883.06	213.42	0.242	3.305084746	0.25619096	0.019609811	0.445156917	0.636289333	0.120571489	12.17333295	5.588070073	13.2307997	12.0820999	10	188.2491125	0	0	0	0	0	744.4547793	0	18252.01321	0	0	0	0	0	0	0	8689.185974	0	0	0	0	0	0	0	0	0	0	10849.59747	0	0	6798.962106	0	0	0	0	0	29134.00466	0	84460.14363	0	0	0	0	0	16094.43807	21750.91664	118.2554367	2892.603225	305.1676998	2228.06149	58739.63508	13536.2988	37213.29698	127.57	2751.54	320.34	2167.2	57847.08	14288.39	37531.02	3454.7	10817.01	27289.72	31600.19	32683.95	8699.05	127.57	360.95	0	12579.16	25492.65	115.28	40.61	0	1563.21	60.74	0	1563.44	53.85	7135.61	0	0	703.16	4648.79	2707.14	40.61	25122.52	28128.81	0.63	44.4	24666.25	0	5341.82	826.4	0	93.76	0	319.71	2073.44	1908.17	12.29	7963.85	0	54.54	495	5
AU	174.6805939109437	-36.702188049407084	1017.51	80.37	2.393509865	1160.33	2.05	0.002	2.777777778	0.0452	0.114592867	0.407757778	0.643733	0.087985483	12.3999996	5.444444444	12.8570004	14.9195004	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1059.3821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2184.7939	0	0	0	0	0	0	0	1.196921992	0	0	0	15.8977953	27.7033932	35.57471194	1.19	0	0	0	2.91	40.36	35.93	0	24.36	2.91	43.12	0	8.81	1.19	0	0	0	0	1.19	0	0	16	1.19	0	0	0	8.81	0	0	0	0	0	0	2.91	27.12	0	0	0	0	24.36	0	0	0	0	0	0	0	0	0	0	0	3776	18
AW	175.5151904858464	-41.49452835004338	32561.57	14742.96	0.24086459	1090.51	113.18	0.104	3.166666667	0.201313333	0.004071247	0.383916683	0.606199967	-0.187793	20.0801883	5.691509492	13.4975996	13.4937	19	0	0	0	0	0	0	0	0	0	0	802.4975063	0	0	0	0	0	6326.307844	0	0	0	0	0	0	0	0	0	0	418.9211875	0	0	72.1117875	0	0	0	0	0	0	0	13752.71321	0	0	0	0	0	0	417.8406313	0	116.418662	4.24455742	0	9428.171602	3258.667876	1935.457315	0	116.1	4.09	0	9191.5	3327.37	2103.92	134.08	3208.98	8803.55	617.94	376.33	1586.39	0	15.71	0	97.49	376.33	0	11.62	0	118.39	0	0	57.95	0	1528.44	0	0	17.98	0	97.49	11.62	8803.55	499.55	4.09	18.61	376.33	0	3182.08	0	26.9	0	0	0	0	0	0	0	0	0	1162	7
AWD	174.56756282901767	-36.370035846458535	192.69	43.27	1.95176363	1396.67	0.47	0	3	0.08735	0.0695077	0.181078	0.6932105	0.125385338	32.43333307	5.366666633	14.1366997	14.3584003	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	756.2822569	0	0	0	0	0	0	0	0	0	0	0	0	0	43.27263591	0	0	0	0	0	0	43.27	0	0	0	0	0	43.27	0	0	0	0	0	0	0	0	0	0	0	0	0	43.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4399	18
AWN	174.6808126329628	-36.70172089618641	1156.46	95.76	2.374654531	1159.67	1.25	0.001	2.846153846	0.042946154	0.117437146	0.400572377	0.637890385	0.00367282	12.3999996	5.363636364	12.8570004	14.9195004	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1059.3821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2530.4948	0	0	0	0	0	0	0	1.196921992	0	0	0	18.86236511	37.38549225	38.3160788	1.19	0	0	0	4.96	50.97	38.64	0	31.43	4.96	47.43	0	10.75	1.19	0	0	0	0	1.19	0	0	19.54	1.19	0	0	0	10.75	0	0	0	0	0	0	4.96	27.89	0	0	0	0	31.43	0	0	0	0	0	0	0	0	0	0	0	2298	18
BAL	172.97166902779213	-43.807040433912135	6496.09	368.85	1.337862372	876.79	10.93	0.012	2.2	0.35624	0.0424797	0.2798536	0.4610786	-0.110596333	18.3999996	5.70000005	13.1014996	12.0937004	30	0	0	0	1982.309179	0	0	0	0	0	0	0	0	0	0	0	0	1536.995238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.164358675	0	0	5.551955903	206.513912	104.2217058	46.39321621	6.14	0	0	0	206.69	109.83	46.15	0	55.87	186.28	74.15	20.41	25.96	6.14	0	0	0	20.41	6.14	0	0	53.96	4.87	0	0	0	25.96	0	0	0	13.74	0	0	186.28	20.19	0	0	20.41	0	42.13	0	0	0	0	0	0	0	0	0	0	1.27	559	4
BC	175.4257647384286	-41.01810977304631	0	302.12	0.238516241	1781.82	72.51	0.041	3.333333333	0.4091	0.011644367	0.687202667	0.591578333	0.2857196	20.32857103	5.700000086	13.1898003	11.8072996	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1673.304	0	0	0	0	0	0	0	0	0	0	0	1.838793595	276.2975101	23.98369375	0	0	0	0	1.81	276.34	23.98	0	54.86	0	245.21	1.81	0.25	0	0	0	1.81	0	0	0	0	221.48	0	0	0	0	0.25	0	0	0	0	0	0	0	23.73	0	0	0	0	54.86	0	0	0	0	0	0	0	0	1.81	0	0	2075	12
BOG	172.35785056993436	-43.76554205607918	14598.57	1261.47	1.48692441	435.48	37.21	0.085	3.666666667	0.014	0.045490767	0.005518733	0.322299333	0.044751267	16.4999996	7	13.8017998	11.7995996	5	0	0	0	0	0	0	4589.327925	0	0	0	0	0	0	0	0	0	0	0	0	0	589.4248875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.091610048	0	0	73.40586954	1184.47684	0	2.495813175	1.09	0	0	73.46	1184.46	0	2.46	0	0	1257.92	0	0	2.46	1.09	0	0	0	0	1.09	0	0	0	1.09	0	0	0	2.46	0	0	0	0	0	0	1184.46	0	0	0	0	0	0	0	0	0	0	0	73.46	0	0	0	0	0	1235	5
BOR	173.17914805512117	-41.32332995879491	43257.73	1671.02	2.599220037	976.79	19.95	0.02	3.444444444	0.101722222	0.126286656	0.076265633	0.531258667	0.123779394	15.43529374	5.947058818	15.0082998	12.9666996	0	0	0	0	0	0	0	994.8042313	0	0	0	776.02865	0	0	0	0	0	767.7513664	0	0	0	0	0	0	0	0	0	0	2459.463558	0	0	0	0	0	0	0	137.1593125	0	0	457.9327	0	0	0	0	0	1874.561256	0	195.0525889	0	2.636436762	656.8842908	615.5996673	16.81155756	184.0385426	242.16	0	2.54	631.54	594.75	32.79	167.23	0	2.94	1226.29	39.84	0	157.24	242.16	2.54	0	0	0	242.16	0	0	29.85	221.31	0	1.09	0	156.15	0	0	0	2.94	0	0	594.75	9.99	2.54	0	0	0	0	0	0	507.75	0	0	123.79	0	0	0	0	20.85	2233	7
BR	176.303628194916	-40.630761687998195	134410.75	31175.97	0.41241461	1181.03	182.2	0.154	3.257575758	0.168633333	0.010109559	0.254071074	0.453851758	-0.463245495	17.58091833	5.816254413	13.8886995	13.8432999	20	0	0	0	0	0	451.7666438	0	0	0	0	0	0	0	0	0	0	10915.27316	0	0	0	0	0	0	0	0	0	0	2443.964619	0	975.913225	0	0	0	0	0	0	0	0	30768.29521	3841.541625	0	0	0	0	0	0	23.12818352	9.108264513	33.64412013	0	25336.71708	3843.42856	1929.940043	23.08	9.08	38.84	0	24944.75	4166.03	1994.18	9.08	3366.68	24906.37	1869.73	38.38	923.8	23.08	38.84	0	0	38.38	19.14	0	0	799.35	19.14	0	3.93	0	919.87	0	0	0	148.81	0	0	24906.37	1070.38	8	9.08	38.38	0	3217.87	0	0	0	0	30.84	0	0	3.94	0	0	0	1086	7
BSH	170.8610129162921	-43.62476811221585	0	14128.1	0.000422975	1474.21	102.71	0.07	3.227272727	0.593045455	0.000187455	0.8430395	0.634248773	0.5576135	14.11632622	4.914285545	13.8374004	8.5481005	579	11920.82598	0	0	0	0	3346.60576	0	0	14109.57087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18094.64694	0	0	0	0	0	801.0089938	0	0	0	0	0	0	0	0	0	0	5238.53348	22.57835995	0	8547.07686	154.3981925	165.5100863	0	5255.71	22.07	0	8531.01	153.93	165.36	3974.71	4.21	0	1596.08	8531.01	0	0	22.07	0	13205.32	197.39	0	0	1281	56.52	0	0	0	479.74	0	0	0	0	0	3973.03	0	0	165.36	22.07	1.68	193.18	0	0	4.21	0	0	0	0	0	93.2	0	7858.09	0	0	315	5
CB	174.76187422877453	-36.74664924607029	1313.24	36.75	4.86365509	1112	0	0	2	0.0621	0.505745	0.287	0.499166	-0.422396733	0	0	12.6752005	15.6286001	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6974.017066	0	0	0	0	0	0	0	0	0	0	13.82816502	0	0	0	0	14.64964141	8.276971533	13.77	0	0	0	0	14.7	8.29	0	8.67	0	13.25	0	1.07	13.77	0	0	0	0	13.77	0	0	6.03	9.36	0	0	0	1.07	0	0	0	0	0	0	0	7.22	0	0	0	0	8.67	0	0	0	0	0	0	0	0	0	0	4.41	2358	16
cbWK	171.07553515741364	-44.91051178204095	92489.78	13446.67	0.620749891	465.89	13.82	0.03	3.407407407	0.068544444	0.016768652	0.031931978	0.518324074	0.4992788	15.84893578	6.19787226	12.1899004	10.8537998	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3320.316935	0	0	0	0	0	0	0	0	0	0	2370.420322	0	3859.515268	0	0	0	0	0	0	0	0	1802.938911	0	0	0	0	0	4755.721046	13863.86564	2.752648167	34.28394531	0	81.49041552	12561.24367	478.1940083	288.7046066	5.48	34.02	0	81.57	12521.69	462.14	341.72	40.72	440.33	9623.42	21.81	2975.56	335.02	5.48	4.28	0	86.79	3262.85	5.48	4.28	0	21.81	5.48	0	36.32	0	298.7	0	0	6.7	76.31	34.02	4.28	9541.85	0	0	0	2922.79	0	0	340.06	23.96	0	0	0	81.57	0	0	52.77	0	0	328	4
CH	174.7138357945529	-36.81725989250352	1717.9	30.62	3.982108831	1052	0	0	2.2	0.07976	0.6122944	0.3348084	0.4645644	0.491741429	0	0	12.6841002	15.4624004	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13948.03413	0	0	0	0	0	0	0	0	0	0	20.47003164	0	0	0	0	0	10.15481341	20.46	0	0	0	0	0	10.16	0	0	0	10.16	0	0	20.46	0	0	0	0	20.46	0	0	0	20.46	0	0	0	0	0	0	0	0	0	0	0	10.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2795	16
CL	170.86284250080703	-44.13441540152778	16108.29	2245.76	0.554778755	618.91	2.23	0.004	3.428571429	0.087942857	0.018314643	0.102196643	0.612015143	0.462116108	15.74444409	5.455555544	14.4188004	10.1417999	257	0	0	0	0	0	0	0	0	1122.959613	0	0	0	0	0	0	0	313.3949438	0	0	0	0	0	0	0	0	0	0	772.3368813	0	0	0	0	0	0	0	0	0	0	4652.631	0	0	0	0	0	0	4747.667135	0	0	0	43.75930134	2078.689536	71.66472224	51.64489274	0	0	0	43.73	2044.68	100.94	56.42	0	44.96	1932.08	56.25	156.33	56.15	0	0	0	156.33	23.12	0	0	0	55.98	0	0	1.68	0	54.47	0	0	0	20.77	0	0	1888.35	0.27	0	0	0	0	1.07	23.12	0	0	0	0	43.73	0	0	156.33	0	0	717	4
CMD	172.62846318452873	-43.371332482643204	277740.31	19974.75	1.376677394	703.27	82.39	0.117	3.611111111	0.053694444	0.051707086	0.095160378	0.407444917	-0.55239	15.92380916	5.838095194	13.0930996	11.7554998	9	0	0	0	0	0	0	7848.839512	0	0	0	0	0	0	0	0	0	2072.786181	0	0	0	790.5105563	0	0	0	0	0	0	3225.634286	0	0	0	0	0	0	0	0	0	0	6976.622841	0	0	0	0	0	15687.43773	12919.8084	303.9501514	0	1.978780546	3035.802132	15954.88819	392.6092021	285.5213812	310.22	0	6.96	3035.45	15876.24	414.42	331.4	1.57	259.68	18802.19	207.11	102.31	277.46	310.22	14.15	0	0	102.31	308.11	7.19	0	154.74	294.64	0	8.84	0	268.62	0	0	1.57	254.5	0	7.19	15766.74	52.37	6.96	0	102.31	0	5.18	0	0	8	0	0	3027.45	0	2.11	0	0	13.47	1076	5
