	ABT	AG	AHR	AKMK	AKMW	AKNK	AKOK	AKR	AKWG	AKWH	AKWK	ANI	AR	ARM	ART	ASH	AU	AW	AWD	AWN	BAL	BC	BOG	BOR	BR	BSH	CB	CBWK	CH	CL	CMD	CS	D	DC	DCB	DCP	DRY	DUD	EAL	EL	EM	ESK	EU	FRK	GLN	HAL	HAN	HBMAK	HBMAN	HBMNR	HBPOR	HER	HKH	HOK	HOR	HRMAN	HRMW	HRN	HRWG	HT	HTM	HUT	HW	IRC	JLB	JLH	JLW	K	KAR	KAU	KH	KKP	KN	KOW	KP	KRK	KT	KTN	KWH	LG	LU	LV	LYL	M	MA	MB	MD	MGK	MGP	MH	MKD	MKM	MKU	ML	MNK	MNR	MNT	MO	MPT	MRP	MSB	MTK	MTR	MTU	MU	MUG	MWB	MWF	MWP	MWW	NKU	O	OAG	OAK	OAL	OAM	OB	OHP	OMR	OMW	OP	OPH	OPU	OR	ORO	OT	OTH	OTN	OTR	PAH	PAW	PB	PCK	PGH	PH	PHE	PHN	PHP	PIR	PKW	PP	PRN	PRS	PU	PUH	QLB	RED	RES	RG	RH	RHP	RMW	RUA	SEL	SH	SKL	SP	SPR	SR	STX	SY	TAS	TH	TIR	TIW	TK	TKP	TKT	TNK	TP	TR	TRB	TRC	TRK	TRN	TRP	TRU	TS	TSH	TSRM	TUK	VU	WAI	WB	WC	WGMAN	WGPOR	WGR	WGWG	WHB	WKK	WKMTA	WKN	WKNK	WKOKU	WKR	WKWK	WMR	WMU	WN	WP	WPR	WS	WTT	AB144	AG136	CY54N	AZ117F	AZ117H	AZ117N	BH111	BL107	CL96	CM51F	CM51H	CM51N	CQ65	CY54F	CY54H	DL60	DP56	M152	O151H	O151N	Q158F	Q158H	Q158N	CR90
k__Bacteria;p__Bacteroidetes;c__SM1A07;o__;f__	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0.0002	0.000133333	0	0.0002	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0.0002	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	6.67E-05	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;Other	0	0	0	0	0	6.67E-05	0	0	0	6.67E-05	0.0002	0	6.67E-05	0	0	0	0	0	0	0	0	0.000866667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	6.67E-05	0	0	0	0.0018	0	0	0	0.0002	0.000533333	0	0	0	0	0	0	0.0002	0	0.000933333	0	0	0	0	0	0	0.0022	0	6.67E-05	0	0.000733333	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0.000133333	0	0.0006	0	0	0.0002	0.001	0	0	0	0	0.000866667	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0.000933333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0.000933333	0	0	0	0	0	0	0	0	0	0	0	0.000533333	6.67E-05	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001666667	0	0	0	0	0	0	0	0	0	0.000466667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__	0	0.001866667	0.001733333	0.009866667	0.0042	0.014333333	0.0052	0.0002	0.009733333	0.0156	0.005733333	0.000666667	0.0022	0.009	0.009	6.67E-05	0.0126	0.000733333	0.016533333	0.0154	0.0002	0.001466667	0.001	0.005333333	0.0114	0.0002	0.010133333	0	0.0132	0.000733333	0.000866667	0.000933333	0.018733333	0.008133333	0.019866667	0.009066667	0	0.015733333	0	0.008866667	0.016533333	0.002266667	0.011866667	0	0.0002	0.000133333	0.000466667	0.0022	6.67E-05	0.0048	0.004466667	0.001866667	0.012066667	0.004666667	0.002666667	0	0.0002	0.000533333	0	0.001866667	0.001266667	0.0022	0.003933333	0	0.000333333	0.0028	0.001533333	0.006666667	0.001466667	0.002866667	0	0.013266667	0.0156	0.035466667	0.0004	0.0016	0.011333333	0.002	0	0.005933333	0.006133333	0.0084	0.0004	0.012733333	0.024333333	0.000333333	0.0038	0.002733333	0.006266667	0.0186	0.001	0	0.001	0.0116	0.000266667	0.0014	6.67E-05	0.000133333	0.0036	0.004533333	0.011733333	0.024733333	0.0012	0.000466667	0.013333333	6.67E-05	0	0.0006	6.67E-05	0.0006	0.010466667	0.0112	0.0002	0.01	0.006266667	0.001866667	0.009866667	0	0.000133333	0.0072	0.0074	0	0	0.0104	0	0.002733333	0.007866667	0.011133333	0.0062	6.67E-05	0.0004	0.0062	0.002333333	0.0056	0.015333333	0.000533333	0.011933333	0.0012	0.002266667	0.0006	0.001533333	0.000466667	0	0.0152	0.0022	0.0002	0.000533333	0.000866667	0	0.011666667	0.0024	0	0.002533333	0.007866667	0.012666667	0	0.011066667	0	0	0.000133333	0.012733333	0.0002	0	0.002266667	0.000733333	0	0.004266667	0.002133333	0.000466667	0	0.0002	0.0014	0.003333333	0.004666667	0.013466667	0.002	0.0002	0.001933333	0.001466667	0.0034	0.000866667	0.012266667	0.000533333	0.009666667	0	0.0006	0.001133333	0.000466667	0.001	0.0008	0.001266667	0.002733333	0.006533333	0.021466667	0.002	0.003533333	0.001866667	0.0006	0.0002	0.002666667	0	0	0.0092	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__NS11-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	0.0054	0	0.0086	0.014666667	6.67E-05	0.006	0.0256	0.002866667	0.000266667	0.001333333	0.000466667	0.039066667	0.0006	0.000466667	0.004066667	0.024266667	0.004533333	0.0002	0.002333333	0.000666667	0.002066667	0.000933333	0.007266667	0.000533333	6.67E-05	0.007133333	0.001266667	0.07	0.000533333	0.0068	0.000133333	0.001066667	0.000933333	0.006066667	0.000133333	6.67E-05	0.000733333	0.027066667	0.033133333	0.0058	0.0022	0.000666667	0.003266667	0.0042	0.058733333	0.025333333	0.004533333	0.0404	0.000733333	0.000333333	0.001066667	0.000533333	0.001466667	0	0.0004	0.003	0	0.0034	0.034866667	0.002933333	0.0008	0.045933333	0.000266667	0.018133333	0.001133333	0.005133333	0.004133333	0.000866667	0.001533333	0	6.67E-05	0.000466667	0.000466667	0.001133333	0.0024	0.000333333	0.001133333	0	0.004933333	0.000133333	0	0.0004	0.044733333	0.0014	0.000533333	0.002466667	0.001066667	0.0328	6.67E-05	0.0006	0.120666667	0.000133333	0.0046	0.000533333	0.014	0.000533333	0.021	6.67E-05	0.006333333	0.003	6.67E-05	0.002933333	0.0036	0	0.007	0.005666667	0	0.013333333	0.0636	0.002933333	0.001466667	0.000266667	0.000133333	0.001133333	0.000466667	0.001333333	0.002533333	0.036066667	0.006466667	0	0.000266667	0.011666667	0.0074	0.002066667	0.000266667	0.000133333	6.67E-05	0.003733333	0	0.0042	0.000266667	0.001733333	0.002866667	0.067733333	0.0004	0.0006	0.002933333	0.000266667	0.0004	0.000533333	0.0012	0.001266667	0.000733333	0.0006	0.014266667	0.002733333	0.004866667	0.0046	0.035933333	0.009266667	0.033933333	0.027066667	0.002	0.079266667	0.000333333	0.012866667	0.001266667	0.035066667	0.0004	0.032333333	0.0008	0.003	0.0002	0.026	0.000533333	0.025466667	0.003	0.001866667	0.002133333	0.010733333	0.0002	0.001	0.000133333	0.004	0.000533333	0.001266667	0.0016	0.008	0	0.001866667	0.0018	0.002133333	0.0002	0.0002	0.015066667	0.003266667	0.0042	0.0028	0.0006	0.003666667	0.0012	0.000333333	0.000266667	0	0.004733333	0.000466667	0.001266667	0.0224	6.67E-05	0.0012	0.001133333	0.0002	0.0198	0.001866667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__;f__	0	0	6.67E-05	0.0002	6.67E-05	0	0	0	0.000333333	0.0002	0.000133333	0	0.0002	0.000266667	0.0012	0	0.000533333	0	6.67E-05	0.001066667	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0.0002	0.0002	0.0002	0.000133333	0	0	0	0.0014	0.001466667	0	0.000333333	0	0	0	0	0	0	0	0	0	0.000133333	0.0004	0.0002	0	0	6.67E-05	0	0	0	6.67E-05	0	0	0	0	0	0.000666667	0	0	0	0.001133333	6.67E-05	0	0	0	0.000266667	0.000266667	0	6.67E-05	0.004466667	6.67E-05	0	0	0	0	0	0	0	0.001	0	0	0	0.000333333	0	0.000266667	0	0	0	0	0	6.67E-05	0.000133333	0.000733333	0.000733333	0	0	0	0	0	0.000266667	6.67E-05	0	6.67E-05	0	0	0.000266667	0	0	0	0	0	0	0.000466667	0	6.67E-05	0	0.0004	0	0	0	0.000266667	0	0	0.000466667	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0.000466667	0	0	0	0	6.67E-05	0	0.0002	0	0	0	0.000466667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000466667	0.0002	0	0	0	0	6.67E-05	0.000266667	0	0.000266667	0	6.67E-05	0	0	0	0	0	0.001133333	0	0	0.0002	0	0	0	0.000133333	0.0006	0	0	0.0002	0.002533333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__Rhodothermaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0.001066667	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0.008533333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0.000866667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__[Balneolaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];Other	0	0	0	0	6.67E-05	0.000133333	6.67E-05	0	0.000266667	0.0002	0.0004	0	0	6.67E-05	0.0004	0	0	6.67E-05	6.67E-05	0.000133333	0	0.000133333	0	0.000733333	0.000266667	0	0.0002	0	6.67E-05	0	0	0	0.000466667	6.67E-05	0.000333333	0.000133333	0	0.000133333	0	6.67E-05	0.000333333	0.0024	0.000133333	0	0	0	0	0	0	0.008133333	0.0002	0	0.000266667	0.000533333	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0.000133333	0	0	0.001133333	0.000133333	0	0	0	0.000733333	0.000333333	0	6.67E-05	6.67E-05	0	0	0.000666667	0.0024	0	0.000133333	0.000266667	0	0.000533333	0	0	0	0.000133333	0	0	0	0	0	0.0004	0.000133333	0.000133333	0	0	0.0006	0	0	0	0	0	0.000133333	6.67E-05	0	0.000133333	0.000333333	0	6.67E-05	0	0	6.67E-05	0	0	0	0.0002	0	6.67E-05	0	0	0.0002	0	0	0.000266667	0	0	0.0014	0	0.000266667	0	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0.000466667	0	0	6.67E-05	0	0.000466667	0	6.67E-05	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0	0	0	0.0002	6.67E-05	0.000466667	0	0	0	0	0	0	0.0002	0	0.0004	0	0.000133333	0	0.000133333	0	0	6.67E-05	0.000133333	0.0002	0	0	6.67E-05	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__	0	0.001666667	0.0004	0.000733333	0.004533333	0.0036	0.003866667	0	0.002	0.0046	0.005666667	0	0.001133333	0.003333333	0.0066	0	0.0058	0	0.003	0.012066667	0.001133333	0.000333333	0	0.001133333	0	0	0.001666667	0	0.0008	0	0	0.000266667	0.0008	0.001266667	0.003533333	0.002066667	0	0.000466667	0	0.0048	0.007266667	0.002333333	0.0052	0	0	0	6.67E-05	0.000266667	0.000266667	0.001133333	6.67E-05	0.009333333	0.0022	0.0036	0.000133333	0	0	0	0	0.0006	0.000933333	6.67E-05	0.001466667	0	6.67E-05	0	0.000133333	0.005733333	0.0002	0	0	0.011466667	0.0054	0	0.0002	0	0.001866667	0.0084	0	0.001933333	0.016466667	0.001866667	0	0.001866667	0.0104	6.67E-05	0.0068	0	0.002533333	0.002666667	0	0	0	0.011333333	0.000333333	0.000733333	0	0	0.0044	0.0002	0.000466667	0.0016	6.67E-05	0.0022	0.0026	0	0	0	0	6.67E-05	0.005733333	0.002266667	0	0.003	0.000933333	0.000133333	0.0104	0	0	0.005133333	0.0036	0	0	0.003466667	0	0.000133333	0.0026	0.0032	0.001066667	0	0	0.0042	0.001	0.000133333	0.018066667	0	0.000666667	0	0.002733333	0.0012	0.000266667	0	0	0.002266667	0	0	0.000133333	0	0	0.002133333	0.000133333	0	0.000133333	6.67E-05	0.003266667	0	0.005066667	0	0.0004	6.67E-05	0.007933333	6.67E-05	0.000133333	0.000266667	0.0002	0	0	0	0	0	0	0	0.001266667	0.0012	0.003266667	0.0024	0	0	0	0.0008	0.0004	0.005333333	0	0.004866667	0	0	6.67E-05	0.000133333	6.67E-05	0	0.001266667	0.0004	0.009466667	0.003	0.0004	0.000466667	0.000466667	0.000466667	0	0.001266667	0	0	0.0032	0.006333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	0.001933333	0.0574	0.023133333	0.0754	0.037266667	0.039466667	0.023266667	0.001	0.040466667	0.045	0.048133333	0.004533333	0.0328	0.040066667	0.031866667	0.0018	0.054333333	0.038266667	0.039133333	0.043933333	0.009	0.050533333	0.018	0.067333333	0.0074	0.004666667	0.020933333	6.67E-05	0.044666667	0.003533333	0.018533333	0.0174	0.034066667	0.0384	0.0416	0.041866667	0.0012	0.022133333	0.002866667	0.0378	0.041066667	0.009	0.0336	0.000666667	0.001533333	0.004266667	0.018533333	0.0264	0.009933333	0.0296	0.045933333	0.055266667	0.040733333	0.026066667	0.019933333	6.67E-05	0.0068	0.008133333	0.002666667	0.003466667	0.0372	0.0402	0.079	0.000666667	0.016533333	0.0212	0.0252	0.014333333	0.029733333	0.018133333	0.001933333	0.052066667	0.064	0.010733333	0.004466667	0.028133333	0.040066667	0.023533333	0.000533333	0.034866667	0.035133333	0.030266667	0.013733333	0.032666667	0.047133333	0.0048	0.029	0.021466667	0.0304	0.0478	0.058133333	0.022066667	0.025533333	0.071866667	0.009066667	0.022533333	0.003066667	0.020733333	0.021933333	0.0322	0.0248	0.04	0.023066667	0.025066667	0.0514	0.0008	0.0018	0.0032	0.000866667	0.009066667	0.0422	0.043733333	0.001866667	0.031266667	0.024866667	0.027333333	0.0646	0.0016	0.002733333	0.040133333	0.051	0.001333333	0.000266667	0.021933333	0.000333333	0.010533333	0.035333333	0.0508	0.040066667	0.006133333	0.026066667	0.043466667	0.046333333	0.030933333	0.054866667	0.0154	0.047866667	0.002333333	0.0504	0.0406	0.007666667	0.0126	0.053066667	0.051933333	0.039733333	0.0044	0.027133333	0.0278	0.000466667	0.047	0.029466667	0.0318	0.022933333	0.023533333	0.047333333	0.001066667	0.058533333	0.001	0.011066667	0.000666667	0.054333333	0.004933333	0.002266667	0.0086	0.005866667	0.001	0.018866667	0.021733333	0.003533333	0.003933333	0.014	0.0204	0.028266667	0.058533333	0.035333333	0.048666667	0.004333333	0.028333333	0.0326	0.0314	0.036866667	0.046	0.038466667	0.0496	0.001133333	0.012066667	0.017466667	0.032	0.025533333	0.012866667	0.039133333	0.026533333	0.051266667	0.0518	0.036733333	0.024266667	0.0288	0.002666667	0.0106	0.031733333	0.005133333	0.004133333	0.044266667	0.021066667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae	0.0004	0.0406	0.014266667	0.016066667	0.081666667	0.024866667	0.0182	0.001933333	0.0164	0.028533333	0.0832	0.0032	0.008933333	0.025066667	0.023733333	0	0.040733333	0.014866667	0.0354	0.0488	0.018866667	0.017	0.002133333	0.028066667	0.011733333	0.0028	0.007266667	6.67E-05	0.023733333	0.000133333	0.017066667	0.018866667	0.007466667	0.005533333	0.017933333	0.018733333	0.000133333	0.002933333	0	0.0506	0.031666667	0.059	0.046066667	6.67E-05	0.0004	0.000333333	0.0018	0.001133333	0.001133333	0.0516	0.005133333	0.1546	0.018533333	0.053466667	0.002333333	6.67E-05	0.000133333	0.0024	0	0.0098	0.006266667	0.000133333	0.0316	0.000133333	0.0026	0.002866667	0.003666667	0.023466667	0.0016	0.001733333	6.67E-05	0.040533333	0.022466667	0.0052	0.0004	0.002066667	0.0178	0.057533333	6.67E-05	0.012	0.123533333	0.0154	0.001533333	0.0104	0.048533333	0.000466667	0.146333333	0.003733333	0.0136	0.022933333	0.0006	0.013666667	0.001466667	0.044466667	0.013733333	0.027133333	0.004466667	0.0242	0.063133333	0.012666667	0.012133333	0.0152	0.0006	0.050333333	0.0268	0.000333333	0.000133333	0.003133333	0	0.0162	0.015533333	0.017133333	0.000466667	0.019466667	0.060933333	0.004266667	0.0424	6.67E-05	0.000133333	0.133866667	0.071133333	0	0	0.019533333	0.000133333	0.052733333	0.0288	0.024133333	0.011266667	0.0046	0.002	0.042666667	0.018133333	0.002533333	0.0574	0.003	0.009933333	0.002266667	0.036933333	0.0438	0.000866667	0.0028	0.013066667	0.0186	0.004133333	0.0006	0.003666667	0.0008	6.67E-05	0.016533333	0.000933333	0.038933333	0.012066667	0.002733333	0.0248	6.67E-05	0.079666667	0	0.0082	0	0.042	0.0002	6.67E-05	0.003933333	0.003733333	6.67E-05	0.001333333	0.004733333	0.0002	0.000266667	0.007866667	0.0046	0.0556	0.0118	0.019533333	0.029666667	0.001733333	0.000533333	0.006733333	0.008933333	0.005533333	0.0332	0.021733333	0.033333333	0.0002	0.000933333	0.0006	0.012533333	0.041333333	6.67E-05	0.009066667	0.022	0.0752	0.0278	0.002333333	0.043133333	0.010733333	0.0004	0.0016	0.0374	0.000533333	0.000933333	0.027533333	0.0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Caldiserica;c__OP5;o__WCHB1-02;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Caldiserica;c__WCHB1-03;o__;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Caldithrix;c__Caldithrixae;o__Caldithrixales;f__Caldithrixaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000733333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
